ID,Name,RA,DEC,Redshift,HostGalaxy,ZTFName,Magnitude,Comment,Run,Remarks,RASN,DECSN
1,2004em,19:31:31,35:52:25,0.01493,IC 1303,INDEF,(r=13.4),0.01493|IC 1303,1,,19:31:31.31,35:52:16.16
2,2019pkh,02:19:27,34:04:54,0.02,Anonymous,ZTF19abuzinv,,0.02|Anonymous,2,Very Faint HOST,02:19:27.27,34:04:55.55
3,2004ek,01:09:59,32:22:36,0.01742,UGC 724,INDEF,(R=12.75),0.01742|UGC 724,1,,01:09:59.59,32:22:48.48
4,2021cwe,15:45:32,30:09:30,0.031681,LEDA 214414,ZTF21aakvroo,(r=16.53),0.031681|LEDA 214414,1,,15:45:31.31,30:09:43.43
5,2021wun,15:46:32,25:25:45,0.0228049997,SDSS J154631.94+252545.5,ZTF21abtephz,(r=17.29),0.0228049997|SDSS J154631.94+252545.5,1,,15:46:32.32,25:25:45.45
6,2020xkx,23:20:28,22:59:13,0.0415,Anonymous,ZTF20acklcyp,,0.0415|Anonymous,2,Small Host Visible (Not Catalogued),23:20:28.28,22:59:13.13
7,2021ydc,01:25:18.18,22:23:25.25,0.055,WISEA J012517.64+222324.8,ZTF21abxlmuw,(W1=17.9),0.055|WISEA J012517.64+222324.8,2,,01:25:18.18,22:23:25.25
8,2018ego,15:52:53,19:58:09,0.037,LEDA 1611826,ZTF18ablhrpz,(r=16.55),0.037|LEDA 1611826,1,,15:52:54.54,19:58:05.05
9,2020rmk,03:52:55,19:19:25,0.025,LEDA 1588264,ZTF20abqlmwn,(J=15.04),0.025|LEDA 1588264,1,,03:52:56.56,19:19:33.33
10,2018imj,06:51:06,12:55:07,0.013,IC 454,ZTF18abytyif,(J=12.99),0.013|IC 454,1,,06:51:06.06,12:54:56.56
11,2006au,17:57:14,12:10:59,0.00958,UGC 11057,INDEF,(B=13.56),0.00958|UGC 11057,1,,17:57:14.14,12:11:03.03
12,PTF12gcx,15:44:17,09:57:43,0.04498,LEDA 1372615,INDEF,(r=16.51),0.04498|LEDA 1372615,1,,15:44:17.17,09:57:43.43
13,2006V,11:31:31,-02:18:10,0.01584,UGC 6510,INDEF,(r=12.93),0.01584|UGC 6510,1,,23:15:53.53,05:07:50.50
14,2022ymc,03:13:41,-01:16:32,0.028,Anonymous,ZTF22abqseiq,,0.028|Anonymous,2,Uncatalogued,03:13:41.41,-01:16:32.32
15,2012gg,04:36:11,-05:04:53,0.030485,Anon J043611-0504,PTF12kso,(r=20.64),0.030485|Anon J043611-0504,2,,04:36:11.11,-05:04:53.53
16,PTF09gpn,03:43:43,-17:08:43,0.0154,Anonymous,INDEF,(r=20.08),0.0154|Anonymous,2,Uncatalogued,03:43:43.43,-17:08:43.43
17,2021abnz,02:43:54,-20:55:10,0.03,GALEX J024354.4-205511,ZTF21acheiti,,0.03|GALEX J024354.4-205511,2,,02:43:54.54,-20:55:07.07
18,1998A,11:09:52,-23:43:40,0.00697,IC 2627,INDEF,(R=11.4),0.00697|IC 2627,1,,11:09:50.50,-23:43:43.43
19,2009mw,09:47:15,-24:51:03,0.014432,ESO 499-5,INDEF,(R=12.56),0.014432|ESO 499-5,1,,09:47:15.15,-24:51:19.19
20,OGLE-2003-NOOS-005,05:55:40,-68:55:38,0.03061,2MASX J05553978-6855381,INDEF,(R=15.58),0.03061|2MASX J05553978-6855381,1,,05:55:40.40,-68:55:38.38
21,2021adyl,09:28:04.091,29:59:27.21,0.02768,IC 2479,ZTF21acnfoqn,(r=14.83),0.02768|IC 2479,1,,09:28:04.091,29:59:27.21
22,2021adcw,02:04:32.891,-21:07:09.52,0.017,LEDA 832430,ZTF20ackzfvn,,0.017|LEDA 832430,2,,02:04:32.891,-21:07:09.52
23,2021aatd,00:59:04.178,-00:12:12.00,0.015245,SDSS J005904.55-001210.0,ZTF21acgqhru,(r=18.37),0.015245|SDSS J005904.55-001210.0,2,,0:59:04,-0:12:12
24,2018anu,17:36:15.551,18:58:39.30,0.039,GALEXASC J173615.16+185850.6,INDEF,,0.039|GALEXASC J173615.16+185850.6,1,,17:36:14.351,18:58:56.59
25,DES16C3cje,03:28:35.29,-27:09:06.6,0.0616,2dFGRS TGS243Z257,INDEF,(R=18.8),0.0616|2dFGRS TGS243Z257,2,,3:28:35,-27:09:07